chr	start	end	het_ratio	het_length
C001-CHA-E01#Pat#chrY	412133	421708	45.5	9575
C001-CHA-E01#Pat#chrY	28819156	28821452	16.7	2296
C001-CHA-E01#Pat#chrY	36093583	36096507	18.2	2924
C001-CHA-E01#Pat#chrY	39260340	39261602	15.4	1262
C001-CHA-E01#Pat#chrY	39262212	39277182	15.4	14970
C001-CHA-E01#Pat#chrY	41212211	41213396	13.3	1185
C001-CHA-E01#Pat#chrY	41223171	41224452	11.1	1281
C001-CHA-E01#Pat#chrY	42776039	42776698	12.5	659
C001-CHA-E01#Pat#chrY	42783405	42784691	12.5	1286
C001-CHA-E01#Pat#chrY	42785841	42786207	10	366
C001-CHA-E01#Pat#chrY	50251672	50255668	33.3	3996
C001-CHA-E01#Pat#chrY	50256402	50256727	41.7	325
C001-CHA-E01#Pat#chrY	52475965	52478235	50	2270
C001-CHA-E01#Pat#chrY	52480612	52481504	21.4	892
C001-CHA-E01#Pat#chrY	60207073	60218494	12.5	11421
C001-CHA-E01#Pat#chrY	60219359	60220340	35.6	981
C001-CHA-E01#Pat#chrY	60220951	60234737	34.8	13786
C001-CHA-E01#Pat#chrY	60252779	60265634	18.2	12855
C001-CHA-E01#Pat#chrY	60266167	60267017	25	850
C001-CHA-E01#Pat#chrY	60269628	60269999	15.8	371
C001-CHA-E01#Pat#chrY	60625419	60625980	10.5	561
