Block	norm_pos	G1	G2	G3	sample	INV
0	0	0	0.009615385	0.990384615	C001-CHA-E01	No
1	0.026315789	0.023076923	0.315384615	0.661538462	C001-CHA-E01	INV
2	0.052631579	0	0	1	C001-CHA-E01	No
3	0.078947368	0	0.059382423	0.940617577	C001-CHA-E01	No
4	0.105263158	0	0.063157895	0.936842105	C001-CHA-E01	No
5	0.131578947	0	0.094936709	0.905063291	C001-CHA-E01	No
6	0.157894737	0	0.055276382	0.944723618	C001-CHA-E01	No
7	0.184210526	0	0.030434783	0.969565217	C001-CHA-E01	No
8	0.210526316	0	0.162162162	0.837837838	C001-CHA-E01	No
9	0.236842105	0	0.176470588	0.823529412	C001-CHA-E01	No
10	0.263157895	0	0.352941176	0.647058824	C001-CHA-E01	No
11	0.289473684	0	0.475409836	0.524590164	C001-CHA-E01	No
12	0.315789474	0	0.297619048	0.702380952	C001-CHA-E01	No
13	0.342105263	0	0.114285714	0.885714286	C001-CHA-E01	No
14	0.368421053	0	0.017291066	0.982708934	C001-CHA-E01	No
15	0.394736842	0	0.327102804	0.672897196	C001-CHA-E01	No
16	0.421052632	0	0.117241379	0.882758621	C001-CHA-E01	No
17	0.447368421	0	0.179487179	0.820512821	C001-CHA-E01	No
18	0.473684211	0	0.074074074	0.925925926	C001-CHA-E01	No
19	0.5	0	0.218181818	0.781818182	C001-CHA-E01	No
20	0.526315789	0	0.144578313	0.855421687	C001-CHA-E01	No
21	0.552631579	0	0.108695652	0.891304348	C001-CHA-E01	No
22	0.578947368	0	0.261744966	0.738255034	C001-CHA-E01	No
23	0.605263158	0	0.132653061	0.867346939	C001-CHA-E01	No
24	0.631578947	0	0.016129032	0.983870968	C001-CHA-E01	No
25	0.657894737	0	0.222222222	0.777777778	C001-CHA-E01	No
26	0.684210526	0	0.241134752	0.758865248	C001-CHA-E01	No
27	0.710526316	0	0.32183908	0.67816092	C001-CHA-E01	No
28	0.736842105	0	0.181818182	0.818181818	C001-CHA-E01	No
29	0.763157895	0	0.193939394	0.806060606	C001-CHA-E01	No
30	0.789473684	0	0.110465116	0.889534884	C001-CHA-E01	No
31	0.815789474	0	0	1	C001-CHA-E01	No
32	0.842105263	0	0.105633803	0.894366197	C001-CHA-E01	No
33	0.868421053	0	0.072289157	0.927710843	C001-CHA-E01	No
34	0.894736842	0	0.088607595	0.911392405	C001-CHA-E01	No
35	0.921052632	0	0.140350877	0.859649123	C001-CHA-E01	No
36	0.947368421	0	0	1	C001-CHA-E01	INV
37	0.973684211	0.015384615	0.123076923	0.861538462	C001-CHA-E01	No
38	1	1	0	0	C001-CHA-E01	No
0	0	0	0.008474576	0.991525424	C016-CHA-E16	No
1	0.03125	0.04	0.33	0.63	C016-CHA-E16	INV
2	0.0625	0	0	1	C016-CHA-E16	No
3	0.09375	0	0.066666667	0.933333333	C016-CHA-E16	No
4	0.125	0	0.08490566	0.91509434	C016-CHA-E16	No
5	0.15625	0	0	1	C016-CHA-E16	No
6	0.1875	0	0.13372093	0.86627907	C016-CHA-E16	No
7	0.21875	0	0.044164038	0.955835962	C016-CHA-E16	No
8	0.25	0	0.087719298	0.912280702	C016-CHA-E16	No
9	0.28125	0	0.020242915	0.979757085	C016-CHA-E16	No
10	0.3125	0	0.085271318	0.914728682	C016-CHA-E16	No
11	0.34375	0	0.161971831	0.838028169	C016-CHA-E16	No
12	0.375	0	0.257142857	0.742857143	C016-CHA-E16	No
13	0.40625	0	0.227722772	0.772277228	C016-CHA-E16	No
14	0.4375	0	0.095238095	0.904761905	C016-CHA-E16	No
15	0.46875	0	0.026845638	0.973154362	C016-CHA-E16	No
16	0.5	0	0.144444444	0.855555556	C016-CHA-E16	No
17	0.53125	0	0.224489796	0.775510204	C016-CHA-E16	No
18	0.5625	0	0.197183099	0.802816901	C016-CHA-E16	No
19	0.59375	0	0.17721519	0.82278481	C016-CHA-E16	No
20	0.625	0	0.154761905	0.845238095	C016-CHA-E16	No
21	0.65625	0	0.142857143	0.857142857	C016-CHA-E16	No
22	0.6875	0	0.13125	0.86875	C016-CHA-E16	No
23	0.71875	0	0.145251397	0.854748603	C016-CHA-E16	No
24	0.75	0	0.127516779	0.872483221	C016-CHA-E16	No
25	0.78125	0	0.066666667	0.933333333	C016-CHA-E16	No
26	0.8125	0	0.245901639	0.754098361	C016-CHA-E16	No
27	0.84375	0	0.130434783	0.869565217	C016-CHA-E16	No
28	0.875	0	0.076086957	0.923913043	C016-CHA-E16	No
29	0.90625	0	0.075	0.925	C016-CHA-E16	No
30	0.9375	0	0.02739726	0.97260274	C016-CHA-E16	INV
31	0.96875	0.012820513	0.102564103	0.884615385	C016-CHA-E16	No
32	1	1	0	0	C016-CHA-E16	No
0	0	0	0.009389671	0.990610329	C021-CHA-S01	No
1	0.026315789	0.031914894	0.340425532	0.627659574	C021-CHA-S01	INV
2	0.052631579	0	0	1	C021-CHA-S01	No
3	0.078947368	0	0.073170732	0.926829268	C021-CHA-S01	No
4	0.105263158	0	0.057692308	0.942307692	C021-CHA-S01	No
5	0.131578947	0	0.110294118	0.889705882	C021-CHA-S01	No
6	0.157894737	0	0.056962025	0.943037975	C021-CHA-S01	No
7	0.184210526	0	0.075	0.925	C021-CHA-S01	No
8	0.210526316	0	0.2	0.8	C021-CHA-S01	No
9	0.236842105	0	0.362745098	0.637254902	C021-CHA-S01	No
10	0.263157895	0	0.342342342	0.657657658	C021-CHA-S01	No
11	0.289473684	0	0.238095238	0.761904762	C021-CHA-S01	No
12	0.315789474	0	0.118421053	0.881578947	C021-CHA-S01	No
13	0.342105263	0	0.01754386	0.98245614	C021-CHA-S01	No
14	0.368421053	0	0.022613065	0.977386935	C021-CHA-S01	No
15	0.394736842	0	0.157024793	0.842975207	C021-CHA-S01	No
16	0.421052632	0	0.197452229	0.802547771	C021-CHA-S01	No
17	0.447368421	0	0.149068323	0.850931677	C021-CHA-S01	No
18	0.473684211	0	0.115384615	0.884615385	C021-CHA-S01	No
19	0.5	0	0.220125786	0.779874214	C021-CHA-S01	No
20	0.526315789	0	0.2125	0.7875	C021-CHA-S01	No
21	0.552631579	0	0.073170732	0.926829268	C021-CHA-S01	No
22	0.578947368	0	0.192771084	0.807228916	C021-CHA-S01	No
23	0.605263158	0	0.189473684	0.810526316	C021-CHA-S01	No
24	0.631578947	0	0.092783505	0.907216495	C021-CHA-S01	No
25	0.657894737	0	0.125984252	0.874015748	C021-CHA-S01	No
26	0.684210526	0	0.255319149	0.744680851	C021-CHA-S01	No
27	0.710526316	0	0.181818182	0.818181818	C021-CHA-S01	No
28	0.736842105	0	0.175757576	0.824242424	C021-CHA-S01	No
29	0.763157895	0	0.173076923	0.826923077	C021-CHA-S01	No
30	0.789473684	0	0.289855072	0.710144928	C021-CHA-S01	No
31	0.815789474	0	0.112676056	0.887323944	C021-CHA-S01	No
32	0.842105263	0	0.414634146	0.585365854	C021-CHA-S01	No
33	0.868421053	0	0.125	0.875	C021-CHA-S01	No
34	0.894736842	0	0.086419753	0.913580247	C021-CHA-S01	No
35	0.921052632	0	0.082474227	0.917525773	C021-CHA-S01	No
36	0.947368421	0	0.016393443	0.983606557	C021-CHA-S01	INV
37	0.973684211	0.013888889	0.111111111	0.875	C021-CHA-S01	No
38	1	1	0	0	C021-CHA-S01	No
0	0	0	0.007905138	0.992094862	C026-CHA-S06	No
1	0.029411765	0.025423729	0.288135593	0.686440678	C026-CHA-S06	INV
2	0.058823529	0	0	1	C026-CHA-S06	No
3	0.088235294	0	0.395348837	0.604651163	C026-CHA-S06	No
4	0.117647059	0	0.126213592	0.873786408	C026-CHA-S06	No
5	0.147058824	0	0.12	0.88	C026-CHA-S06	No
6	0.176470588	0	0.43	0.57	C026-CHA-S06	No
7	0.205882353	0	0.316831683	0.683168317	C026-CHA-S06	No
8	0.235294118	0	0.102857143	0.897142857	C026-CHA-S06	No
9	0.264705882	0	0.09929078	0.90070922	C026-CHA-S06	No
10	0.294117647	0	0.222972973	0.777027027	C026-CHA-S06	No
11	0.323529412	0	0.181818182	0.818181818	C026-CHA-S06	No
12	0.352941176	0	0.024096386	0.975903614	C026-CHA-S06	No
13	0.382352941	0	0.205128205	0.794871795	C026-CHA-S06	No
14	0.411764706	0	0.073684211	0.926315789	C026-CHA-S06	No
15	0.441176471	0	0.107142857	0.892857143	C026-CHA-S06	No
16	0.470588235	0	0.30625	0.69375	C026-CHA-S06	No
17	0.5	0	0.179245283	0.820754717	C026-CHA-S06	No
18	0.529411765	0	0.010416667	0.989583333	C026-CHA-S06	No
19	0.558823529	0	0.234693878	0.765306122	C026-CHA-S06	No
20	0.588235294	0	0.19760479	0.80239521	C026-CHA-S06	No
21	0.617647059	0	0.298076923	0.701923077	C026-CHA-S06	No
22	0.647058824	0	0.25	0.75	C026-CHA-S06	No
23	0.676470588	0	0.212389381	0.787610619	C026-CHA-S06	No
24	0.705882353	0	0.132653061	0.867346939	C026-CHA-S06	No
