chrY	22883442	23051163	BLUE	.	-	22883442	23051163	60,84,164
chrY	23051160	23166843	TEAL	.	-	23051160	23166843	0,128,128
chrY	23335937	23451598	TEAL	.	+	23335937	23451598	0,128,128
chrY	23451601	23680440	BLUE	.	+	23451601	23680440	60,84,164
chrY	23704960	24019707	GREEN	.	-	23704960	24019707	11,130,67
chrY	24020046	24166485	RED	.	-	24020046	24166485	231,35,35
chrY	24168436	24319651	RED	.	+	24168436	24319651	231,35,35
chrY	24319935	24434662	GRAY	.	-	24319935	24434662	125,112,96
chrY	24434662	24663909	BLUE	.	-	24434662	24663909	60,84,164
chrY	25341611	25656327	GREEN	.	-	25341611	25656327	11,130,67
chrY	24663910	25341613	YELLOW	.	-	24663910	25341613	255,153,0
chrY	25656666	25788563	RED	.	-	25656666	25788563	231,35,35
chrY	25790514	25943033	RED	.	+	25790514	25943033	231,35,35
chrY	25943317	26258054	GREEN	.	+	25943317	26258054	11,130,67
chrY	26935802	27164533	BLUE	.	+	26935802	27164533	60,84,164
chrY	26258052	26935801	YELLOW	.	+	26258052	26935801	255,153,0
chrY	27164533	27279246	GRAY	.	+	27164533	27279246	125,112,96
